cohort_week,purchase_week,l0_category,customer_count,cohort_index,min_val,mean_val,final_customer_count
2022-04-04,2022-04-04,Cold Drinks & Juices,69839,0,12275,54097.57142857143,69839.0
2022-05-02,2022-05-09,Dairy & Breakfast,16491,1,68,22968.46153846154,16491.0
2022-03-28,2022-04-18,Pharma & Wellness,6746,3,6,1711.7272727272727,6746.0
2022-04-04,2022-05-02,Sweet Tooth,16643,4,14,6128.1,16643.0
2022-04-25,2022-05-09,Organic & Premium,1637,2,3,2454.5833333333335,1637.0
2022-04-25,2022-06-13,Instant & Frozen Food,4427,7,45,7126.714285714285,4427.0
2022-03-28,2022-04-18,Vegetables & Fruits,73748,3,106,19927.727272727272,73748.0
2022-04-04,2022-04-25,Cold Drinks & Juices,35355,3,28,11943.0,35355.0
2022-05-30,2022-06-06,Cold Drinks & Juices,9349,1,24,12378.0,9349.0
2022-05-23,2022-06-27,"Chicken, Meat & Fish",6,5,6,814.375,814.375
2022-06-06,2022-06-06,Instant & Frozen Food,16410,0,10267,42196.57142857143,16410.0
2022-05-23,2022-06-27,Dairy & Breakfast,220,5,72,22873.444444444445,220.0
2022-04-04,2022-06-13,Cold Drinks & Juices,24683,10,4633,18824.5,24683.0
2022-03-28,2022-03-28,Pet Care,1457,0,400,1396.7142857142858,1457.0
2022-03-28,2022-04-18,Personal Care,25282,3,23,7276.0,25282.0
2022-04-25,2022-04-25,Instant & Frozen Food,26876,0,10267,42196.57142857143,26876.0
2022-04-18,2022-05-02,Cleaning Essentials,5709,2,16,6414.0,5709.0
2022-04-18,2022-05-30,Dairy & Breakfast,13046,6,122,23116.375,13046.0
2022-06-06,2022-06-13,Baby Care,697,1,3,1078.2307692307693,697.0
2022-04-04,2022-04-18,Paan Corner,1169,2,1,552.6666666666666,1169.0
2022-04-11,2022-05-30,Organic & Premium,2372,7,25,2304.285714285714,2372.0
2022-05-23,2022-06-27,Cold Drinks & Juices,118,5,29,11763.777777777777,118.0
